"country_name","cowcode","year","v2x_polyarchy","v2elparlel","v2lgbicam","v2jureview","v2csstruc_0","v2csstruc_1","v2csstruc_2","v2csstruc_3","v2x_feduni","v2x_divparctrl","e_v2xlg_legcon_5c","v2xcl_rol","lvaw_garriga","gdp_constant_2015_us","gdp_per_capita_constant_2015_us","gini_index","multidimensional_poverty_headcount_ratio_percent_of_total_population","population_total","poverty_gap_at_2_15_a_day_2017_ppp_percent","hp_democracy","lp_democracy"
"Australia",900,2012,0.904,NA,2,1.828,0,0.455,0.545,0,0.977,-1.382,1,0.983,0.25111538,1256128656424.85,55254.6062126847,NA,NA,22733465,NA,1,0
"Australia",900,2013,0.891,0,2,1.828,0,0.4,0.6,0,0.979,-1.383,1,0.978,NA,1288790662985.54,55723.9482270935,NA,NA,23128129,NA,1,0
"Australia",900,2014,0.873,NA,2,1.828,0,0.4,0.6,0,0.979,1.633,1,0.978,NA,1321821485124.76,56305.9790936359,34.4,NA,23475686,0.4,1,0
"Australia",900,2015,0.884,NA,2,1.828,0,0.444,0.556,0,0.979,1.633,1,0.977,NA,1350534154255.76,56707.0220772116,NA,NA,23815995,NA,1,0
"Australia",900,2016,0.887,0,2,1.828,0,0.444,0.556,0,0.979,1.633,1,0.977,NA,1387560980285.63,57358.7827974217,33.7,NA,24190907,0.3,1,0
"Australia",900,2017,0.889,NA,2,1.828,0,0.444,0.556,0,0.979,1.633,1,0.97,NA,1419418366737.24,57695.5712591341,NA,NA,24601860,NA,1,0
"Australia",900,2018,0.878,NA,2,1.828,0,0.375,0.625,0,0.979,1.633,1,0.97,NA,1460169477425.41,58447.2526505317,34.3,NA,24982688,0.4,1,0
"Australia",900,2019,0.851,0,2,1.828,0,0.286,0.714,0,0.979,1.633,1,0.971,NA,1491025040336.15,58781.0466570626,NA,NA,25365745,NA,1,0
"Australia",900,2020,0.859,NA,2,1.828,0,0.167,0.833,0,0.979,-1.536,1,0.961,NA,1490967836287.24,58029.5155258862,NA,NA,25693267,NA,1,0
"Australia",900,2021,0.854,NA,2,1.828,0,0.2,0.8,0,0.979,1.33,1,0.959,NA,1512962040410.16,58780.3330605266,NA,NA,25739256,NA,1,0
"Austria",305,1990,0.863,1,2,1.731,0,1,0,0,0.97,-0.304,1,0.969,0.61375,240629049863.283,31340.6812927165,NA,NA,7677850,NA,1,0
"Austria",305,1991,0.867,NA,2,1.731,0,1,0,0,0.97,-0.304,1,0.969,0.61375,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,1992,0.866,NA,2,1.731,0,1,0,0,0.97,-0.304,1,0.969,0.61375,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,1993,0.865,NA,2,1.731,0,1,0,0,0.97,-0.304,1,0.969,0.61375,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,1994,0.866,1,2,1.731,0,1,0,0,0.97,-0.304,1,0.969,0.61375,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,1995,0.868,1,2,1.731,0,1,0,0,0.97,-0.304,1,0.964,0.61375,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,1996,0.867,NA,2,1.731,0,1,0,0,0.97,-0.304,1,0.968,0.61375,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,1997,0.867,NA,2,1.731,0,1,0,0,0.97,-0.304,1,0.968,0.61375,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,1998,0.871,NA,2,1.731,0,1,0,0,0.97,-0.304,1,0.968,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,1999,0.871,1,2,1.731,0,1,0,0,0.97,-0.304,1,0.968,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2000,0.866,NA,2,1.731,0,0.8,0,0.2,0.97,-0.304,1,0.968,0.8565,311192381028.414,38842.8905195831,28.8,NA,8011566,0,1,0
"Austria",305,2001,0.866,NA,2,1.731,0,0.8,0,0.2,0.97,-0.304,1,0.968,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2002,0.866,1,2,1.731,0,0.8,0,0.2,0.97,-0.304,1,0.968,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2003,0.865,NA,2,1.731,0,0.8,0,0.2,0.97,-0.304,1,0.968,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2004,0.867,NA,2,1.731,0,0.8,0,0.2,0.97,-0.304,1,0.968,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2005,0.868,NA,2,1.731,0,0.667,0.25,0.083,0.97,-0.304,1,0.968,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2006,0.871,1,2,1.731,0,0.667,0.333,0,0.97,-0.304,1,0.968,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2007,0.879,NA,2,1.731,0,0.667,0.333,0,0.97,-0.304,1,0.968,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2008,0.879,1,2,1.731,0,0.667,0.333,0,0.97,-0.304,1,0.969,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2009,0.878,NA,2,1.731,0,0.667,0.333,0,0.97,-0.304,1,0.969,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2010,0.873,NA,2,1.731,0,0.667,0.333,0,0.97,-0.304,1,0.969,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2011,0.874,NA,2,1.731,0,0.667,0.333,0,0.97,-0.304,1,0.969,0.8565,NA,NA,NA,NA,NA,NA,1,0
"Austria",305,2012,0.875,NA,2,1.731,0,0.667,0.333,0,0.97,-0.304,1,0.969,0.8565,375555101767.152,44549.881698231,30.5,18.5,8429991,0.4,1,0
"Austria",305,2013,0.875,1,2,1.731,0,0.667,0.333,0,0.97,-0.304,1,0.97,NA,375650886015,44299.3781845446,30.8,18.8,8479823,0.2,1,0
"Austria",305,2014,0.876,NA,2,1.731,0,0.667,0.333,0,0.97,-0.304,1,0.97,NA,378134963330.691,44245.1687398338,30.5,19.2,8546356,0.1,1,0
"Austria",305,2015,0.876,NA,2,1.731,0,0.7,0.3,0,0.97,-0.304,1,0.969,NA,381971148530.543,44195.8175947748,30.5,18.3,8642699,0.6,1,0
"Austria",305,2016,0.854,NA,2,1.731,0,0.7,0.3,0,0.97,-0.304,1,0.969,NA,389570224508.691,44590.2516278164,30.8,18,8736668,0.6,1,0
"Austria",305,2017,0.852,1,2,1.731,0,0.6,0.4,0,0.97,-0.304,1,0.962,NA,398368950204.699,45281.723399938,29.7,18.1,8797566,0.2,1,0
"Austria",305,2018,0.843,NA,2,1.731,0,0.571,0.429,0,0.97,-0.304,1,0.947,NA,408334528417.519,46188.9665119872,30.8,17.5,8840521,0.5,1,0
"Austria",305,2019,0.844,1,2,1.731,0,0.571,0.429,0,0.97,0.366,1,0.948,NA,414423657207.687,46669.7512148406,30.2,16.9,8879920,0.5,1,0
"Austria",305,2020,0.841,NA,2,1.731,0,0.8,0.2,0,0.97,-0.29,1,0.947,NA,386514237678.398,43346.4318485062,NA,17.5,8916864,NA,1,0
"Austria",305,2021,0.825,NA,2,1.731,0,1,0,0,0.97,-0.29,1,0.94,NA,403845417071.793,45090.7589046514,NA,NA,8956279,NA,1,0
"Barbados",53,1990,0.745,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.38598028,3926894253.16174,15049.4351161476,NA,NA,260933,NA,0,0
"Barbados",53,1991,0.759,0,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.38598028,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,1992,0.76,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.38598028,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,1993,0.76,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.38598028,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,1994,0.763,0,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.38598028,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,1995,0.768,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.38598028,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,1996,0.768,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.38598028,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,1997,0.768,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.38598028,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,1998,0.768,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.41333553,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,1999,0.768,0,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.41333553,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,2000,0.768,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.41333553,4419258739.5824,16276.536639703,NA,NA,271511,NA,0,0
"Barbados",53,2001,0.768,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.41333553,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,2002,0.768,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.41333553,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,2003,0.768,0,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.41333553,NA,NA,NA,NA,NA,NA,0,0
"Barbados",53,2004,0.767,NA,2,1.722,0,0.5,0.5,0,0,-0.317,0.75,0.927,0.41333553,NA,NA,NA,NA,NA,NA,0,0
